l,l1,p,a,a1,u,u1,id
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4412722-1,SN-4412722-1
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4412722-1,SN-4412722-1
Karl-Schubert-Schule,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4412722-1,SN-4412722-1
Karl-Schubert-Schule,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4412722-1,SN-4412722-1
"Freie Grundschule ""Regenbogen""",Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4412722-2,SN-4412722-2
"Freie Grundschule ""Regenbogen""",Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4412722-2,SN-4412722-2
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4412722-2,SN-4412722-2
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4412722-2,SN-4412722-2
Karl-Schubert-Schule,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4412722-2,SN-4412722-2
Karl-Schubert-Schule,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4412722-2,SN-4412722-2
Lene-Voigt-Oberschule,Lene-Voigt-Schule -  Oberschule der Stadt Leipzig,4279,"Leipzig, Willi-Bredel-Straße 11",Willi-Bredel-Straße 11 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Lene-Voigt-OS,http://jedeschule.de/SN-4431409-0,SN-4431409-0
Lene-Voigt-Oberschule,Lene-Voigt-Schule -  Oberschule der Stadt Leipzig,4279,"Leipzig, Willi-Bredel-Straße 11",Willi-Bredel-Straße 11 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Lene-Voigt-OS,http://jedeschule.de/SN-4431409-0,SN-4431409-0
Wilhelm-Ostwald-Gymnasium,Lene-Voigt-Schule -  Oberschule der Stadt Leipzig,4279,"Leipzig, Willi-Bredel-Straße 13",Willi-Bredel-Straße 11 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Ostwald-Gym,http://jedeschule.de/SN-4431409-0,SN-4431409-0
Wilhelm-Ostwald-Gymnasium,Lene-Voigt-Schule -  Oberschule der Stadt Leipzig,4279,"Leipzig, Willi-Bredel-Straße 13",Willi-Bredel-Straße 11 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Ostwald-Gym,http://jedeschule.de/SN-4431409-0,SN-4431409-0
"Freie Grundschule ""Regenbogen""",DPFA-Regenbogen-Grundschule Leipzig   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4412631-0,SN-4412631-0
"Freie Grundschule ""Regenbogen""",DPFA-Regenbogen-Grundschule Leipzig   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4412631-0,SN-4412631-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,DPFA-Regenbogen-Grundschule Leipzig   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4412631-0,SN-4412631-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,DPFA-Regenbogen-Grundschule Leipzig   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4412631-0,SN-4412631-0
Karl-Schubert-Schule,DPFA-Regenbogen-Grundschule Leipzig   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4412631-0,SN-4412631-0
Karl-Schubert-Schule,DPFA-Regenbogen-Grundschule Leipzig   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4412631-0,SN-4412631-0
8. Schule,8. Schule - Grundschule der Stadt Leipzig,4279,"Leipzig, Wincklerstraße 3",Wincklerstraße 3-5 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/8-GS,http://jedeschule.de/SN-4412516-0,SN-4412516-0
8. Schule,8. Schule - Grundschule der Stadt Leipzig,4279,"Leipzig, Wincklerstraße 3",Wincklerstraße 3-5 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/8-GS,http://jedeschule.de/SN-4412516-0,SN-4412516-0
